-BEGIN HEADER-,,,,,,,,,,,Denver
2022,4,26,6.31,6.56,8.16,2.44,0.62,1.86,0.37,15.91,114.31
2022,4,27,3.66,2.34,7.89,2.32,0.35,1.25,0.25,9.89,69.55
2022,4,28,6.42,3.96,8.18,3.94,0.62,1.96,0.39,16.34,116.64
2022,4,29,6.37,6.18,8.44,2.68,0.61,1.89,0.38,16.07,114.64
2022,4,30,8.21,10.82,8.57,1.19,0.78,2.17,0.44,20.3,146.34
2022,5,1,5.52,3.05,8.21,3.41,0.52,1.66,0.33,14.6,101.91
2022,5,2,4,2.09,8.32,2.75,0.38,1.34,0.27,11.41,76.8
2022,5,3,5.97,4.8,8.31,2.83,0.56,1.74,0.34,15.35,108.88
2022,5,4,3.98,1.75,8.47,2.88,0.38,1.34,0.27,11.3,76.18
2022,5,5,7.16,7.81,8.48,1.86,0.67,1.98,0.4,18.28,130.34
2022,5,6,7.24,6.09,8.42,3.4,0.67,2.35,0.47,18.74,133.84
2022,5,7,7.05,6.54,8.5,3.1,0.66,2.38,0.47,18.27,129.48
2022,5,8,6.02,4.76,8.56,3.35,0.55,2.04,0.41,15.89,111.91
2022,5,9,8.31,9.24,8.67,1.97,0.77,2.54,0.51,20.5,148.28
2022,5,10,8.3,10.23,8.76,1.76,0.77,2.67,0.53,20.96,150.77
2022,5,11,8.35,9.98,8.79,1.92,0.77,2.85,0.56,20.97,150.92
2022,5,12,8.92,12.12,9.13,1.12,0.81,2.97,0.58,21.98,157.8
2022,5,13,8.58,10.04,8.96,1.68,0.78,2.48,0.5,21.27,152.96
2022,5,14,8.2,7.77,8.83,2.9,0.74,2.55,0.51,20.89,149.7
2022,5,15,8.22,9.08,8.79,1.94,0.74,2.63,0.52,20.91,149.92
2022,5,16,4.37,2.07,8.64,3.14,0.4,1.55,0.31,12.07,83.38
2022,5,17,6,4.82,8.74,3.02,0.54,2.09,0.41,16.05,112.52
2022,5,18,7.01,6.17,8.68,2.99,0.63,2.3,0.46,18.3,130.24
2022,5,19,7.67,4.94,8.9,4.29,0.69,2.45,0.49,19.79,140.22
2022,5,20,1.72,0.62,8.82,1.29,0.16,0.73,0.15,5.78,37.27
2022,5,21,4.12,1.88,8.97,2.71,0.37,1.45,0.29,11.85,79.68
2022,5,22,4.98,2.19,8.7,3.34,0.45,1.66,0.34,13.79,94.95
2022,5,23,5.47,2.44,8.8,3.74,0.48,1.75,0.35,14.47,101.12
2022,5,24,3.88,1.54,8.88,2.73,0.34,1.38,0.27,11.28,75.9
2022,5,25,7.88,9.99,9.12,1.33,0.7,2.34,0.47,19.99,143.06
2022,5,26,8.39,9.25,9.02,1.89,0.74,2.72,0.54,21.25,152.76
2022,5,27,6.42,4.78,9,3.3,0.56,2.33,0.46,17.13,119.73
2022,5,28,5.62,2.53,9.1,3.86,0.49,2.13,0.43,15.73,108
2022,5,29,5.47,3.07,8.79,3.36,0.48,1.91,0.38,14.81,103.52
2022,5,30,7.48,7.02,9.39,2.66,0.66,2.32,0.46,19.63,136.62
2022,5,31,4.42,2.79,9.18,2.62,0.39,1.34,0.27,12.34,84.86
2022,6,1,5.97,3.84,9.01,3.26,0.52,2.06,0.41,16.42,112.81
2022,6,2,7.58,7.54,9.04,2.37,0.66,2.52,0.5,19.61,139.2
2022,6,3,5.98,3.43,9.09,3.9,0.52,2.13,0.42,16.08,112.07
2022,6,4,7,5.88,9,3.27,0.61,2.4,0.48,18.41,130.38
2022,6,5,6.08,3.38,8.9,3.76,0.53,2.21,0.44,16.56,115.26
2022,6,6,5.6,3.69,8.81,3.2,0.48,2.15,0.43,15.57,108.4
2022,6,7,7.66,7.69,9.05,2.65,0.66,2.62,0.52,19.77,141.32
2022,6,8,8.87,10.51,9.22,1.54,0.77,2.91,0.58,22.51,161.45
2022,6,9,6.72,5.27,9.04,3.08,0.58,2.41,0.48,18.04,126.62
2022,6,10,7.7,6.07,8.97,3.96,0.66,2.7,0.54,20.11,143.87
2022,6,11,8.07,9.07,9.03,1.98,0.7,2.79,0.55,20.7,148.61
2022,6,12,6.78,5.72,8.94,3.42,0.59,2.3,0.46,17.75,126.82
2022,6,13,9.02,10.85,9.17,1.48,0.78,2.97,0.59,22.27,161.89
2022,6,14,8.21,8.97,9.2,2.29,0.71,2.84,0.56,21.11,150.7
2022,6,15,9.14,12.64,9.41,1.04,0.79,-999,0.59,22.91,165.37
2022,6,16,8.61,10.11,9.15,1.49,0.74,3.12,0.61,22.17,158.61
2022,6,17,6.74,6.39,8.99,2.5,0.58,2.62,0.52,18.04,127.51
2022,6,18,5.05,2.29,8.71,3.34,0.44,2.19,0.43,14.55,99.26
2022,6,19,5.18,2.07,8.82,3.7,0.45,2.17,0.43,14.91,101.36
2022,6,20,8.76,9.41,9.36,2.43,0.76,3.08,0.6,22.34,159.7
2022,6,21,8.2,8.25,9.29,3.02,0.71,2.73,0.55,21.04,150.38
2022,6,22,5.61,3.01,9.17,3.73,0.48,2.06,0.41,15.27,107.12
2022,6,23,6.52,6.31,9.02,2.37,0.56,2.5,0.49,17.33,122.29
2022,6,24,6.16,5.16,9.05,2.99,0.53,2.43,0.48,16.85,117.88
2022,6,25,5.61,3.49,8.79,3.24,0.48,2.26,0.45,15.41,107.21
2022,6,26,3.2,1.31,8.75,2.25,0.27,1.45,0.29,9.82,65.62
2022,6,27,7.97,8.11,8.97,2.14,0.69,3.06,0.59,20.62,147.62
2022,6,28,7.03,6.79,9.13,2.61,0.61,2.7,0.53,18.71,131.83
2022,6,29,6.15,4.26,8.94,3.1,0.53,2.51,0.49,16.8,116.95
2022,6,30,3.21,1.32,8.69,2.42,0.28,1.41,0.28,9.79,65.87
2022,7,1,6.83,5.84,8.76,2.89,0.59,2.69,0.52,18.15,129.25
2022,7,2,7.05,6.96,8.89,2.41,0.61,2.76,0.54,18.77,133.22
2022,7,3,5.52,4.78,8.78,2.43,0.48,2.23,0.44,15.15,106.3
2022,7,4,6.92,6.44,8.85,2.51,0.6,2.7,0.53,18.42,130.3
2022,7,5,4.27,2.47,8.84,2.62,0.38,1.79,0.35,12.19,83.58
2022,7,6,5.74,4.37,8.72,2.73,0.5,2.37,0.46,15.83,110.84
2022,7,7,7.13,7.33,8.92,2.56,0.62,2.77,0.54,18.83,134.16
2022,7,8,7.36,7.65,8.96,2.01,0.64,2.98,0.58,19.4,137.26
2022,7,9,7.75,8.66,8.88,1.79,0.68,2.93,0.57,20.38,145.2
2022,7,10,5.56,4.33,8.74,2.87,0.48,2.17,0.43,15.27,106.62
2022,7,11,6.5,5.71,8.7,2.55,0.57,2.5,0.49,17.38,122.94
2022,7,12,7.1,7.37,8.77,2.58,0.62,2.59,0.52,18.57,133.41
2022,7,13,5.65,5.54,8.78,1.97,0.5,2.25,0.45,15.38,107.75
2022,7,14,5.93,5.04,8.62,2.57,0.52,2.34,0.46,16.2,113.74
2022,7,15,5.48,4.18,8.54,2.65,0.48,2.21,0.44,15.3,106.48
2022,7,16,6.84,6.33,8.56,2.76,0.61,2.63,0.52,18.39,130.87
2022,7,17,8.12,9.31,8.78,1.88,0.73,3.04,0.59,20.96,150.91
2022,7,18,6.53,5.68,8.49,2.74,0.59,2.55,0.5,17.77,125.79
2022,7,19,6.53,5.77,8.45,2.7,0.59,2.57,0.5,17.81,125.96
2022,7,20,6.53,5.81,8.55,2.76,0.59,2.6,0.51,17.74,125.06
2022,7,21,6.92,7.08,8.73,2.65,0.62,2.55,0.5,18.18,129.53
2022,7,22,6.58,7.28,8.54,2.16,0.59,2.37,0.47,17.34,124
2022,7,23,4.9,3.56,8.37,2.59,0.45,1.82,0.36,13.46,94.24
2022,7,24,3.94,2.31,8.32,2.32,0.36,1.55,0.3,11.13,77.35
2022,7,25,6.76,6.33,8.3,2.29,0.62,2.54,0.5,17.77,127.26
2022,7,26,6.32,5.61,8.29,2.52,0.58,2.43,0.48,16.83,119.59
2022,7,27,6.86,5.85,8.35,2.93,0.62,2.55,0.51,18.09,128.67
2022,7,28,3,1.08,8.12,2.26,0.27,1.31,0.26,9.22,61.12
2022,7,29,5.63,3.98,8.12,3.05,0.52,2.09,0.41,15.14,107.09
2022,7,30,7.08,7.61,8.47,1.99,0.66,2.51,0.49,18.41,131.61
2022,7,31,5.58,4.19,8.24,3.02,0.52,2.06,0.41,15.27,106.85
2022,8,1,5.65,3.81,8.14,3.05,0.52,2.09,0.41,15.19,106.91
2022,8,2,6.51,6.01,8.05,2.55,0.61,2.38,0.47,17.34,123.91
2022,8,3,5.64,4.08,8.08,2.87,0.53,2.23,0.44,15.54,108.68
2022,8,4,6.87,6.88,8.08,2.08,0.64,2.55,0.5,18.18,129.8
2022,8,5,4.79,4.18,7.96,2.08,0.45,1.76,0.34,13.09,92.48
2022,8,6,6.55,6.54,8.01,2.23,0.62,2.42,0.48,17.5,124.71
2022,8,7,6.26,5.85,7.94,2.38,0.59,2.3,0.45,16.66,119.02
2022,8,8,6.87,7.05,8.03,2.46,0.66,2.44,0.48,18.02,129.34
2022,8,9,7.31,8.53,8.12,2.03,0.7,2.59,0.51,18.81,135.61
2022,8,10,7.46,9.16,8.07,1.6,0.72,2.71,0.53,19.3,139.24
2022,8,11,6.52,7.17,8.07,1.72,0.63,2.47,0.48,17.2,122.18
2022,8,12,7.03,8.15,8,1.77,0.68,2.63,0.52,18.38,131.78
2022,8,13,5.98,6.52,7.9,1.66,0.59,2.31,0.45,16.07,113.59
2022,8,14,5.54,6.05,7.81,1.74,0.54,2.05,0.41,14.92,105.96
2022,8,15,4.27,4.04,7.72,1.69,0.42,1.59,0.31,11.66,81.88
2022,8,16,1.91,0.89,7.54,1.36,0.19,0.89,0.18,6.18,40.18
2022,8,17,6.61,7.3,7.77,2.04,0.66,2.3,0.45,17.18,122.95
2022,8,18,6.99,8.45,7.85,1.78,0.7,2.3,0.45,17.77,128.25
2022,8,19,5.04,3.39,7.53,2.96,0.51,1.77,0.35,13.52,95.25
2022,8,20,4.1,1.86,7.31,2.84,0.41,1.57,0.31,11.51,79.39
2022,8,21,3.65,2.33,7.45,2.1,0.37,1.38,0.27,10.32,71.12
2022,8,22,5.2,4.65,7.46,2.31,0.53,1.81,0.36,14.06,99.34
2022,8,23,6.77,8.04,7.62,1.78,0.7,2.19,0.43,17.1,124.06
2022,8,24,6.44,7.6,7.5,1.72,0.66,2.12,0.42,16.55,119.43
2022,8,25,4.47,4.91,7.4,1.65,0.46,1.55,0.3,12.02,85.34
2022,8,26,3.99,2.02,7.24,2.71,0.41,1.51,0.3,11.27,77.14
2022,8,27,6.52,7.92,7.43,1.58,0.68,2.16,0.43,16.6,120.24
2022,8,28,4.94,5.53,7.29,1.67,0.52,1.7,0.34,13.04,93.03
2022,8,29,6.92,8.99,7.37,1.42,0.73,2.15,0.43,17.47,127.23
2022,8,30,6.8,9.22,7.3,1.24,0.73,2.23,0.44,17.3,125.95
2022,8,31,5.81,6.45,7.16,1.99,0.62,2.05,0.41,15.02,108.31
2022,9,1,6.04,7.02,7.24,2.09,0.65,2.01,0.4,15.41,111.07
2022,9,2,6.34,7.31,7.03,1.85,0.69,2.06,0.41,16.19,118.09
2022,9,3,6.14,7.41,7.01,1.59,0.67,2.02,0.4,15.68,114.21
2022,9,4,7.05,10.41,7.07,0.79,0.77,2.2,0.44,17.47,129.19
2022,9,5,6.47,8.82,6.93,1.13,0.71,2.12,0.41,16.52,120.59
2022,9,6,6.5,8.66,6.77,1.31,0.73,2,0.4,16.26,120.31
2022,9,7,5.94,6.77,6.56,1.79,0.66,1.85,0.37,14.59,108.84
2022,9,8,5.04,5.01,6.53,1.96,0.57,1.6,0.31,12.39,91.53
2022,9,9,4.55,4.28,6.52,1.96,0.52,1.49,0.29,11.51,83.7
2022,9,10,3.94,3.89,6.61,1.59,0.45,1.18,0.23,9.94,71.77
2022,9,11,6.79,10.24,6.77,0.85,0.78,1.73,0.35,16.05,120.91
2022,9,12,6.86,10.5,6.86,0.79,0.8,1.88,0.38,16.34,121.85
2022,9,13,4.61,3.63,6.47,2.39,0.54,1.52,0.3,11.88,85.38
2022,9,14,2.79,1.26,6.36,1.99,0.33,1.11,0.21,7.98,54.52
2022,9,15,4.17,3.01,6.35,2.36,0.49,1.47,0.28,11.19,78.69
2022,9,16,4.89,6,6.38,1.66,0.59,1.52,0.3,12.41,90.66
2022,9,17,5.02,5.06,6.39,2.2,0.6,1.66,0.32,12.9,92.6
2022,9,18,6.42,10.08,6.43,0.74,0.78,1.95,0.38,15.53,116.02
2022,9,19,5.28,7.06,6.28,1.29,0.65,1.75,0.34,13.35,97.46
2022,9,20,4.82,5.69,6.2,1.57,0.59,1.73,0.33,12.45,89.59
2022,9,21,2.21,1.13,6.02,1.67,0.27,1,0.19,6.63,44.13
2022,9,22,3.14,2.55,5.96,1.84,0.39,1.3,0.24,8.7,60.42
2022,9,23,6.22,10.08,6.22,0.75,0.79,1.97,0.38,14.79,111.04
2022,9,24,6.23,10.64,6.18,0.58,0.8,1.84,0.36,14.78,111.41
2022,9,25,6.07,10.31,6.04,0.59,0.78,1.73,0.34,14.65,110.23
2022,9,26,5.88,9.77,5.98,0.66,0.77,1.68,0.34,14.22,106.84
2022,9,27,3.5,2.79,5.81,2.03,0.46,1.23,0.23,9.45,66.31
2022,9,28,4.42,5.11,5.83,1.87,0.59,1.4,0.27,11.23,81.3
2022,9,29,4.38,3.7,5.69,2.35,0.59,1.44,0.27,11.31,81.51
2022,9,30,3.18,2.15,5.61,1.98,0.43,1.1,0.21,8.6,60.28
2022,10,1,3.66,3.69,5.57,1.75,0.49,1.17,0.23,9.62,68.73
2022,10,2,3.6,2.21,5.45,2.48,0.49,1.18,0.23,9.59,67.55
2022,10,3,4.17,3.13,5.5,2.44,0.58,1.23,0.24,10.77,77.32
2022,10,4,4.2,5.1,5.5,1.75,0.59,1.13,0.23,10.48,76.32
2022,10,5,4.47,5.75,5.45,1.56,0.62,1.25,0.25,11.16,81.52
2022,10,6,5.14,8.28,5.5,0.92,0.73,1.34,0.27,12.38,92.42
2022,10,7,3.94,4.34,5.26,1.74,0.56,1.09,0.21,9.74,70.99
2022,10,8,4.64,6.47,5.36,1.45,0.67,1.14,0.23,11.27,83.51
2022,10,9,5.26,9.03,5.35,0.76,0.77,1.16,0.23,12.3,93.05
2022,10,10,4.37,6.12,5.26,1.62,0.64,1.04,0.21,10.66,78.51
2022,10,11,4.27,5.91,5.23,1.5,0.63,1.07,0.21,10.41,76.57
2022,10,12,5.23,9.77,5.2,0.57,0.79,1.23,0.25,12.19,93.07
2022,10,13,5.05,9.13,5.17,0.87,0.77,1.34,0.27,12,90.84
2022,10,14,5.15,9.92,5.18,0.66,0.79,1.23,0.25,12.04,91.26
2022,10,15,4.7,7.32,5.05,1.33,0.73,1.13,0.23,11.26,84.28
2022,10,16,3.48,2.93,4.94,2.09,0.55,0.93,0.18,8.86,63.38
2022,10,17,4.86,9.16,4.9,0.58,0.77,1.06,0.22,11.43,87.2
2022,10,18,4.96,9.76,4.92,0.49,0.79,1.05,0.21,11.44,87.72
2022,10,19,4.97,10.09,4.95,0.43,0.8,1.02,0.21,11.38,87.31
2022,10,20,4.88,9.86,4.85,0.5,0.8,0.99,0.2,11.21,86.16
2022,10,21,4.51,7.17,4.78,1.11,0.74,0.94,0.19,10.55,79.73
2022,10,22,4.67,9.19,4.64,0.55,0.77,0.94,0.19,10.73,82.8
2022,10,23,2.69,2.91,4.52,1.43,0.45,0.65,0.13,6.91,49.48
2022,10,24,4.12,7.34,4.69,0.87,0.7,0.8,0.16,9.49,71.73
2022,10,25,3.32,5.02,4.53,1.18,0.57,0.74,0.15,8.15,59.88
2022,10,26,2.97,3.49,4.43,1.3,0.52,0.72,0.14,7.43,53.91
2022,10,27,1.67,1.15,4.34,1.21,0.29,0.44,0.09,4.74,31.72
2022,10,28,4.35,8.72,4.5,0.6,0.77,0.8,0.16,9.9,76.08
2022,10,29,4.08,6.92,4.32,0.99,0.73,0.82,0.16,9.52,72.7
2022,10,30,3.84,6.59,4.16,0.98,0.7,0.81,0.16,9,68.93
2022,10,31,4.22,8.99,4.24,0.48,0.77,0.77,0.16,9.54,74.36
2022,11,1,3.84,6.12,4.17,1.23,0.71,0.82,0.16,8.97,68.44
2022,11,2,4.01,7.72,4.14,0.77,0.75,0.82,0.16,9.05,70.27
2022,11,3,1.29,0.75,3.92,0.99,0.24,0.38,0.08,3.72,25.05
2022,11,4,3.22,5.86,4.13,0.87,0.62,0.58,0.12,7.52,56.68
2022,11,5,2.71,4.27,4,0.95,0.52,0.56,0.12,6.65,49.16
2022,11,6,1.93,1.44,3.83,1.33,0.38,0.53,0.11,5.22,36.01
2022,11,7,3.77,7.78,3.87,0.61,0.74,0.77,0.16,8.66,67.48
2022,11,8,3.82,7.76,3.91,0.65,0.76,0.71,0.14,8.56,66.88
2022,11,9,3.83,8.38,3.9,0.53,0.77,0.71,0.14,8.57,66.97
2022,11,10,3.52,7.38,3.93,0.64,0.71,0.59,0.12,7.83,60.69
2022,11,11,3.47,7.02,3.79,0.77,0.71,0.53,0.11,7.59,59.36
2022,11,12,3.44,4.2,3.89,1.78,0.71,0.6,0.12,7.74,58.89
2022,11,13,3.02,4.62,3.68,1.4,0.63,0.52,0.1,7.07,53.54
2022,11,14,2.52,2.66,3.43,1.59,0.53,0.41,0.09,5.89,43.94
2022,11,15,2.59,3.72,3.71,1.19,0.55,0.45,0.09,6.07,44.64
2022,11,16,3.2,6.58,3.65,0.7,0.69,0.48,0.1,7.1,55.22
2022,11,17,2.05,2.94,3.52,0.93,0.45,0.37,0.08,4.88,35.65
2022,11,18,2.56,4.43,3.51,0.9,0.56,0.37,0.07,5.83,44.22
2022,11,19,3.15,7.29,3.58,0.56,0.7,0.41,0.08,6.87,53.91
2022,11,20,3.14,7.4,3.53,0.61,0.7,0.45,0.09,6.88,54.12
2022,11,21,3.28,7.69,3.5,0.63,0.74,0.49,0.1,7.12,56.45
2022,11,22,3.15,5.49,3.46,1.17,0.72,0.52,0.11,7.02,54.38
2022,11,23,2.19,2.5,3.36,1.3,0.5,0.38,0.08,5.3,38.69
2022,11,24,2.58,5.36,3.33,0.81,0.6,0.37,0.08,5.86,45.2
2022,11,25,3.29,8.31,3.32,0.44,0.77,0.48,0.09,7.18,57.46
2022,11,26,3.04,6.08,3.19,0.75,0.71,0.49,0.1,6.78,53.51
2022,11,27,2.57,4.7,3.22,0.95,0.61,0.4,0.08,5.82,44.68
2022,11,28,2.22,2.73,3.22,1.26,0.53,0.34,0.07,5.21,39
2022,11,29,1.14,0.98,3.27,0.85,0.27,0.17,0.04,2.98,20.55
2022,11,30,3.15,7.69,3.19,0.48,0.77,0.38,0.08,7.01,55.12
2022,12,1,2.89,5.94,3.17,0.8,0.7,0.4,0.08,6.43,50.28
2022,12,2,2.05,2.9,3.13,1.1,0.5,0.31,0.06,4.89,36.23
2022,12,3,2.04,1.81,3.02,1.43,0.5,0.32,0.06,4.94,36.51
2022,12,4,2.61,4.34,2.97,1.13,0.65,0.38,0.08,5.89,45.98
2022,12,5,2.18,3.33,2.96,1.08,0.55,0.31,0.06,5,38.43
2022,12,6,2.14,3.3,3.01,1.01,0.54,0.3,0.06,5.05,38.12
2022,12,7,2.55,5.56,2.95,0.69,0.65,0.35,0.07,5.73,45.09
2022,12,8,2.63,6.1,3.09,0.7,0.66,0.37,0.08,5.72,45.02
2022,12,9,2.88,6.95,3.06,0.71,0.73,0.38,0.08,6.19,49.49
2022,12,10,3.04,8.26,3.03,0.4,0.78,0.38,0.08,6.55,52.77
2022,12,11,2.86,7.32,2.99,0.46,0.73,0.36,0.07,6.2,49.78
2022,12,12,2.36,2.51,2.9,1.45,0.61,0.33,0.07,5.48,41.48
2022,12,13,1.26,0.78,2.99,1.01,0.33,0.17,0.04,3.4,23.12
2022,12,14,1.98,1.87,2.99,1.39,0.51,0.23,0.05,4.71,34.31
2022,12,15,1.94,1.87,2.89,1.37,0.5,0.26,0.05,4.66,33.95
2022,12,16,2.55,5.28,3.04,0.95,0.66,0.34,0.07,5.58,43.37
2022,12,17,2.85,7.28,3.02,0.6,0.74,0.3,0.06,6.03,48.43
2022,12,18,2.27,2.15,3,1.6,0.59,0.3,0.06,5.27,39.2
2022,12,19,2.71,5.65,3,0.86,0.7,0.36,0.07,5.91,46.52
2022,12,20,2.43,3.58,2.95,1.27,0.63,0.38,0.08,5.63,42.73
2022,12,21,2.12,3.65,2.96,0.98,0.55,0.28,0.05,4.9,37.13
2022,12,22,2.47,4.11,3.05,1.16,0.64,0.23,0.05,5.49,41.99
2022,12,23,2.31,3.68,2.92,1.2,0.6,0.26,0.05,5.36,40.62
2022,12,24,1.67,1.97,2.92,1.16,0.44,0.22,0.05,4.17,29.99
2022,12,25,1.39,0.67,2.89,1.18,0.36,0.2,0.04,3.7,25.21
2022,12,26,2.19,2.29,2.92,1.4,0.57,0.25,0.05,5.19,38.6
2022,12,27,1.61,0.81,2.85,1.36,0.41,0.24,0.05,4.15,29.12
2022,12,28,1.69,2.45,2.81,0.92,0.44,0.27,0.05,4.13,30.46
2022,12,29,2.3,4.25,3.02,0.88,0.59,0.3,0.06,5.32,40.17
2022,12,30,2.52,3.75,2.99,1.31,0.65,0.27,0.05,5.77,43.88
2022,12,31,2.07,2.81,2.95,1.06,0.53,0.3,0.06,5.08,37.49
2023,1,1,1.51,0.63,2.83,1.3,0.38,0.24,0.05,4.03,27.67
2023,1,2,1.24,1.29,2.96,0.86,0.31,0.18,0.04,3.2,22.69
2023,1,3,2.05,3.13,3.04,1.04,0.52,0.25,0.05,4.82,35.91
2023,1,4,2.97,6.85,3.14,0.67,0.75,0.33,0.06,6.48,50.79
2023,1,5,2.61,4.91,3.01,0.96,0.65,0.3,0.05,5.93,45.8
2023,1,6,2.17,2.42,3.05,1.48,0.54,0.28,0.05,5.21,38.62
2023,1,7,2.98,6.8,3.13,0.64,0.73,0.33,0.06,6.57,51.81
2023,1,8,3,5.9,3.14,0.87,0.74,0.37,0.07,6.67,52.14
2023,1,9,2.72,5.24,3.16,1.11,0.66,0.37,0.07,6.2,47.71
2023,1,10,2.87,5.52,3.15,0.9,0.7,0.38,0.08,6.55,50.74
2023,1,11,1.57,0.91,3.17,1.28,0.38,0.23,0.05,4.17,29.07
2023,1,12,3.23,7.41,3.27,0.66,0.77,0.3,0.05,6.93,55.26
2023,1,13,2.79,2.76,3.2,1.71,0.66,0.37,0.07,6.6,49.9
2023,1,14,3.05,5.1,3.2,1.13,0.72,0.4,0.08,6.92,53.7
2023,1,15,1.79,0.7,3.16,1.53,0.42,0.27,0.05,4.75,33.12
2023,1,16,2.97,5,3.36,1.15,0.69,0.34,0.06,6.81,51.66
2023,1,17,2.36,1.86,3.17,1.71,0.55,0.3,0.06,5.78,42.38
2023,1,18,1.96,1.11,3.45,1.55,0.45,0.25,0.05,5.08,35.83
2023,1,19,2.72,3.86,3.52,1.49,0.62,0.32,0.06,6.38,47.3
2023,1,20,2.43,1.32,3.4,1.9,0.55,0.31,0.06,5.98,42.98
2023,1,21,2.61,2.84,3.5,1.58,0.58,0.32,0.06,6.41,46.47
2023,1,22,3.35,6.42,3.54,1.01,0.73,0.41,0.08,7.8,58.84
2023,1,23,3.38,5.47,3.55,1.23,0.73,0.45,0.09,7.95,59.11
2023,1,24,2.91,2.25,3.62,2.13,0.62,0.42,0.09,7.22,51.66
2023,1,25,3.09,2.47,3.77,2.09,0.66,0.41,0.08,7.63,54.56
2023,1,26,3.65,7.15,3.81,0.87,0.77,0.45,0.09,8.41,63.03
2023,1,27,3.21,3.49,3.78,1.82,0.67,0.49,0.09,8.12,58.13
2023,1,28,3.18,4,3.81,1.77,0.66,0.54,0.11,7.85,56.51
2023,1,29,3.25,4.03,3.87,1.69,0.66,0.55,0.11,8.08,57.94
2023,1,30,3.41,4.1,3.87,1.79,0.7,0.51,0.1,8.29,60.29
2023,1,31,4.1,9.78,4.07,0.51,0.83,0.58,0.11,9.19,69.76
2023,2,1,4.01,8.72,4.03,0.62,0.8,0.6,0.12,9.28,70.13
2023,2,2,3.97,8.14,3.97,0.72,0.78,0.62,0.12,9.13,69.52
2023,2,3,3.9,6.34,4.01,1.36,0.76,0.57,0.11,8.87,66.96
2023,2,4,4.04,8.18,4.09,0.79,0.78,0.59,0.12,9.26,70.59
2023,2,5,3.98,7.01,4.09,1.1,0.76,0.59,0.12,9.21,69.87
2023,2,6,3.9,6.08,4.23,1.44,0.73,0.67,0.13,9.19,68.02
2023,2,7,4.33,9.41,4.34,0.61,0.8,0.6,0.12,9.74,74.45
2023,2,8,3.83,5.45,4.26,1.74,0.7,0.64,0.12,9.18,67.43
2023,2,9,3.8,4,4.49,2.23,0.7,0.68,0.13,9.24,66.17
2023,2,10,4.41,9.34,4.41,0.62,0.8,0.67,0.13,10.15,77.27
2023,2,11,4.33,6.49,4.49,1.4,0.77,0.74,0.15,10.2,76.02
2023,2,12,4.32,7.45,4.47,1.19,0.77,0.78,0.16,10.21,76.34
2023,2,13,4.1,5.9,4.45,1.5,0.72,0.74,0.15,9.93,73.2
2023,2,14,4.22,5.28,4.55,1.76,0.73,0.7,0.14,9.96,73.43
2023,2,15,2.58,0.9,4.77,2.15,0.45,0.48,0.09,7.12,48.56
2023,2,16,4.93,10.13,4.91,0.55,0.84,0.68,0.13,11.33,83.96
2023,2,17,4.88,9.58,4.89,0.57,0.82,0.76,0.15,11.38,84.68
2023,2,18,4.44,5.39,4.85,2.12,0.73,0.83,0.16,10.66,78.04
2023,2,19,4.24,5.09,4.8,2.02,0.7,0.73,0.15,10.17,74.7
2023,2,20,4.06,4.78,4.88,2.06,0.66,0.71,0.14,10.05,73.07
2023,2,21,4.75,7.26,4.93,1.21,0.76,0.85,0.17,11.37,84.24
2023,2,22,2.24,0.99,5.05,1.8,0.36,0.57,0.12,6.82,44.85
2023,2,23,4.03,3.82,5.21,2.42,0.63,0.76,0.15,10.38,72.65
2023,2,24,4.45,4.05,5.29,2.59,0.69,0.98,0.2,11.68,80.66
2023,2,25,5.01,7.51,5.15,1.47,0.77,0.98,0.2,12.13,88.91
2023,2,26,4.57,5.15,5.24,2.43,0.7,1.02,0.2,11.74,82.98
2023,2,27,5.07,8.17,5.41,1.36,0.77,0.91,0.18,12.34,89.51
2023,2,28,4.54,4.1,5.51,2.57,0.68,1.09,0.22,11.79,82.2
2023,3,1,2.75,1.04,5.32,2.23,0.41,0.62,0.12,7.84,52.9
2023,3,2,5.09,7.78,5.56,1.47,0.74,0.89,0.18,12.27,89.09
2023,3,3,3.63,2.06,5.46,2.7,0.52,0.77,0.16,9.66,67.16
2023,3,4,4.37,3.33,5.58,2.71,0.62,0.97,0.2,11,78.39
2023,3,5,4.84,6.68,5.7,1.68,0.69,1.07,0.22,11.85,85.7
2023,3,6,5.6,8.77,5.73,1.12,0.79,1.09,0.22,13.34,98.02
2023,3,7,3.79,4.27,5.67,1.58,0.52,0.88,0.18,9.56,67.89
2023,3,8,4.36,2.45,5.75,3.07,0.6,0.98,0.2,11.13,78.46
2023,3,9,5.74,9.54,5.99,0.95,0.78,1.14,0.23,13.62,100.42
2023,3,10,3.8,2.15,5.85,2.58,0.52,0.92,0.19,10.34,71.62
2023,3,11,5.13,6.12,5.98,1.93,0.69,1.25,0.25,12.69,91.45
2023,3,12,4.13,3.46,5.99,2.44,0.55,1.03,0.2,10.7,75.39
2023,3,13,4.87,4.82,6.09,2.46,0.64,1.09,0.22,12.27,87.78
2023,3,14,5.48,6.3,6.18,1.97,0.71,1.2,0.24,13.56,97.78
2023,3,15,4.93,4.96,6.1,2.39,0.63,1.22,0.24,12.7,90.34
2023,3,16,3.12,1.51,6.33,2.26,0.4,0.87,0.17,8.76,59.14
2023,3,17,4.27,4.94,6.35,1.63,0.54,0.93,0.19,10.54,75.45
